Name,Press release/Article,Posted by,Organism,Functions,Categories,Notes,Editor,Collection,Paper website,Paper,Technology category,Development stage,SDGs addressed,Keywords,Mimic level,"Biomimicry ""type""",Innovation Summary,Biomimicry Summary,University Address,Primary Author,Primary Author Email,Video,Photos,Paper 2,Supplemental material,Paper mentions biomimicry?,Patent,Patent number,Patent year,Patent mentions biomimicry?,Date/Time Created,Added by
Spiders weaving liquid to silk without heat,,,Spiders,,,,,,,,,,,,,,https://www.theguardian.com/world/2021/jan/04/spider-man-style-medical-gun-spins-out-skin-substitute-for-burns ,,,,,,,,,,,,,,1/19/21 5:37,
Look Inside a Rattlesnake's Rattle,,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=ZO4IAZycUik&ab_channel=DeepLook,,,,,,,,,1/13/21 13:51,Ashley Hall
Watch These Peregrine Falcons Become Fierce Parents,,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=RTNZmnD27is&ab_channel=DeepLook,,,,,,,,,1/13/21 13:47,Ashley Hall
Ever Seen a Starfish Gallop?,,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=9rxf_2EgwfE&ab_channel=DeepLook,,,,,,,,,1/13/21 13:46,Ashley Hall
A Very Spine-Tingling Spider - Screening with Deep Look,,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=oo63rbdbIks&ab_channel=DeepLook,,,,,,,,,1/13/21 13:43,Ashley Hall
See Sea Slugs Scour Seagrass by the Seashore,,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=kjvhVVu5uqE&ab_channel=DeepLook,,,,,,,,,1/13/21 13:41,Ashley Hall
Here's How That Annoying Fly Dodges Your Swatter,,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=jBPFCvEhv9Y&ab_channel=DeepLook,,,,,,,,,1/13/21 13:37,Ashley Hall
These Silk-Swinging Caterpillars Will Ruin Your Picnic,,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=fv16qtBBdJI&ab_channel=DeepLook,,,,,,,,,1/13/21 13:34,Ashley Hall
Silkie Chicken,,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=9qqa54BoVzg&ab_channel=AviBirds,,,,,,,,,1/13/21 13:24,Ashley Hall
Chinese Goose ,,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=7cUMgm307yo&ab_channel=AviBirds,,,,,,,,,1/13/21 13:23,Ashley Hall
Broad-breasted White Turkey,,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=792Y_BBOMeo&ab_channel=AviBirds,,,,,,,,,1/13/21 13:22,Ashley Hall
Yokohama Chicken,,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=w9zS-rF4sqE&ab_channel=AviBirds,,,,,,,,,1/13/21 13:21,Ashley Hall
Common Raven (Corvus corax),,,,,,,,,,,,,,,,,,,,,,"https://www.youtube.com/watch?v=RGU3bapbhf0&ab_channel=AviBirds

",,,,,,,,,1/13/21 13:20,Ashley Hall
Eurasian magpie (Pica pica),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=sqCD3_wR0WA&ab_channel=AviBirds,,,,,,,,,1/13/21 13:11,Ashley Hall
Great Tit (Parus major),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=-x-gE0JqlBw&ab_channel=AviBirds,,,,,,,,,1/13/21 13:07,Ashley Hall
Syrian Woodpecker (Dendrocopos syriacus),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=Q6JVGDznXUI&ab_channel=AviBirds,,,,,,,,,1/13/21 13:02,Ashley Hall
Red-crowned Parakeet (Cyanoramphus novaezelandiae),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=G-KsrBeJOjE&ab_channel=AviBirds,,,,,,,,,1/13/21 13:00,Ashley Hall
Sebright Chicken,,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=xhh6zsMhO7U&ab_channel=AviBirds,,,,,,,,,1/13/21 13:00,Ashley Hall
Black-crowned Night Heron (Nycticorax nycticorax),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=MA5BtKjz0ME&ab_channel=AviBirds,,,,,,,,,1/13/21 12:59,Ashley Hall
Eurasian wigeon (Mareca penelope),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=go3WPoxgLOo&ab_channel=AviBirds,,,,,,,,,1/13/21 12:55,Ashley Hall
Black-headed Duck (Heteronetta atricapilla),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=NhoElQ4oLhE&ab_channel=AviBirds,,,,,,,,,1/13/21 12:54,Ashley Hall
Red-breasted Goose (Branta ruficollis),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=6UaFo-_RrJQ&ab_channel=AviBirds,,,,,,,,,1/13/21 12:53,Ashley Hall
Muscovy Duck (Cairina moschata),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=LPyfM7miSqA&ab_channel=AviBirds,,,,,,,,,1/13/21 12:52,Ashley Hall
Greater White-fronted Goose (Anser albifrons),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=bZZCQDZAGbc&ab_channel=AviBirds,,,,,,,,,1/13/21 12:50,Ashley Hall
Common Shelduck (Tadorna tadorna),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=x0tYSZ68Ywg&ab_channel=AviBirds,,,,,,,,,1/13/21 12:47,Ashley Hall
Release Dove (Columba livia domestica),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=nGdZii8IAB8&ab_channel=AviBirds,,,,,,,,,1/13/21 12:45,Ashley Hall
Whooper Swan (Cygnus cygnus),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=qwWKf7ag9Ls&ab_channel=AviBirds,,,,,,,,,1/13/21 12:44,Ashley Hall
Budgerigar (Melopsittacus undulatus),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=OC2OgKAJhI8&ab_channel=AviBirds,,,,,,,,,1/13/21 12:41,Ashley Hall
Demoiselle Crane (Grus virgo),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=iHOTjkWmgnM&ab_channel=AviBirds,,,,,,,,,1/13/21 12:40,Ashley Hall
Yellow-legged Gull (Larus michahellis),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=v0jznmlrF7U&ab_channel=AviBirds,,,,,,,,,1/13/21 12:39,Ashley Hall
Little Egret (Egretta garzetta),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=V3lw4WQNsUU&ab_channel=AviBirds,,,,,,,,,1/13/21 12:37,Ashley Hall
Mandarin Duck (Aix galericulata),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=svuW7Jv34u4&ab_channel=AviBirds,,,,,,,,,1/13/21 12:36,Ashley Hall
White-naped Crane (Antigone vipio),,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=bxiwuHiBq7Y&ab_channel=AviBirds,,,,,,,,,1/13/21 12:35,Ashley Hall
