,doi,url,title,abstract,is_open_access,journal_name,is_biomimicry
0,10.1371/journal.pbio.3000614,https://www.semanticscholar.org/paper/a0489352902258f607db700691d548edbe4b333f,A G protein–coupled receptor mediates neuropeptide-induced oocyte maturation in the jellyfish Clytia,"The reproductive hormones that trigger oocyte meiotic maturation and release from the ovary vary greatly between animal species. Identification of receptors for these maturation-inducing hormones (MIHs) and understanding how they initiate the largely conserved maturation process remain important challenges. In hydrozoan cnidarians including the jellyfish Clytia hemisphaerica, MIH comprises neuropeptides released from somatic cells of the gonad. We identified the receptor (MIHR) for these MIH neuropeptides in Clytia using cell culture–based “deorphanization” of candidate oocyte-expressed G protein–coupled receptors (GPCRs). MIHR mutant jellyfish generated using CRISPR-Cas9 editing had severe defects in gamete development or in spawning both in males and females. Female gonads, or oocytes isolated from MIHR mutants, failed to respond to synthetic MIH. Treatment with the cAMP analogue Br-cAMP to mimic cAMP rise at maturation onset rescued meiotic maturation and spawning. Injection of inhibitory antibodies to the alpha subunit of the Gs heterodimeric protein (GαS) into wild-type oocytes phenocopied the MIHR mutants. These results provide the molecular links between MIH stimulation and meiotic maturation initiation in hydrozoan oocytes. Molecular phylogeny grouped Clytia MIHR with a subset of bilaterian neuropeptide receptors, including neuropeptide Y, gonadotropin inhibitory hormone (GnIH), pyroglutamylated RFamide, and luqin, all upstream regulators of sexual reproduction. This identification and functional characterization of a cnidarian peptide GPCR advances our understanding of oocyte maturation initiation and sheds light on the evolution of neuropeptide-hormone systems.",True,PLoS biology,False
1,10.1371/journal.pbio.3000207,https://www.semanticscholar.org/paper/39e0d0d978256c75e13e5c8c353bbfbabe861fad,Asymmetric sampling in human auditory cortex reveals spectral processing hierarchy,"Speech perception is mediated by both left and right auditory cortices but with differential sensitivity to specific acoustic information contained in the speech signal. A detailed description of this functional asymmetry is missing, and the underlying models are widely debated. We analyzed cortical responses from 96 epilepsy patients with electrode implantation in left or right primary, secondary, and/or association auditory cortex (AAC). We presented short acoustic transients to noninvasively estimate the dynamical properties of multiple functional regions along the auditory cortical hierarchy. We show remarkably similar bimodal spectral response profiles in left and right primary and secondary regions, with evoked activity composed of dynamics in the theta (around 4–8 Hz) and beta–gamma (around 15–40 Hz) ranges. Beyond these first cortical levels of auditory processing, a hemispheric asymmetry emerged, with delta and beta band (3/15 Hz) responsivity prevailing in the right hemisphere and theta and gamma band (6/40 Hz) activity prevailing in the left. This asymmetry is also present during syllables presentation, but the evoked responses in AAC are more heterogeneous, with the co-occurrence of alpha (around 10 Hz) and gamma (>25 Hz) activity bilaterally. These intracranial data provide a more fine-grained and nuanced characterization of cortical auditory processing in the 2 hemispheres, shedding light on the neural dynamics that potentially shape auditory and speech processing at different levels of the cortical hierarchy.",True,PLoS biology,False
2,10.1371/journal.pbio.3000625,https://www.semanticscholar.org/paper/d1d1186d3e172883edca7d5f2c343577bfb9893c,Drifting codes within a stable coding scheme for working memory,"Working memory (WM) is important to maintain information over short time periods to provide some stability in a constantly changing environment. However, brain activity is inherently dynamic, raising a challenge for maintaining stable mental states. To investigate the relationship between WM stability and neural dynamics, we used electroencephalography to measure the neural response to impulse stimuli during a WM delay. Multivariate pattern analysis revealed representations were both stable and dynamic: there was a clear difference in neural states between time-specific impulse responses, reflecting dynamic changes, yet the coding scheme for memorised orientations was stable. This suggests that a stable subcomponent in WM enables stable maintenance within a dynamic system. A stable coding scheme simplifies readout for WM-guided behaviour, whereas the low-dimensional dynamic component could provide additional temporal information. Despite having a stable subspace, WM is clearly not perfect—memory performance still degrades over time. Indeed, we find that even within the stable coding scheme, memories drift during maintenance. When averaged across trials, such drift contributes to the width of the error distribution.",True,PLoS biology,False
3,10.1371/journal.pbio.3000622,https://www.semanticscholar.org/paper/9b82bf555ef809f9b1d16e02d3a7ac26653c624b,Eating breakfast and avoiding late-evening snacking sustains lipid oxidation,"Circadian (daily) regulation of metabolic pathways implies that food may be metabolized differentially over the daily cycle. To test that hypothesis, we monitored the metabolism of older subjects in a whole-room respiratory chamber over two separate 56-h sessions in a random crossover design. In one session, one of the 3 daily meals was presented as breakfast, whereas in the other session, a nutritionally equivalent meal was presented as a late-evening snack. The duration of the overnight fast was the same for both sessions. Whereas the two sessions did not differ in overall energy expenditure, the respiratory exchange ratio (RER) was different during sleep between the two sessions. Unexpectedly, this difference in RER due to daily meal timing was not due to daily differences in physical activity, sleep disruption, or core body temperature (CBT). Rather, we found that the daily timing of nutrient availability coupled with daily/circadian control of metabolism drives a switch in substrate preference such that the late-evening Snack Session resulted in significantly lower lipid oxidation (LO) compared to the Breakfast Session. Therefore, the timing of meals during the day/night cycle affects how ingested food is oxidized or stored in humans, with important implications for optimal eating habits.",True,PLoS biology,False
4,10.1371/journal.pbio.3000610,https://www.semanticscholar.org/paper/1196b364457281e87b875fb67e2339060120b30d,Whole-chromosome hitchhiking driven by a male-killing endosymbiont,"Neo-sex chromosomes are found in many taxa, but the forces driving their emergence and spread are poorly understood. The female-specific neo-W chromosome of the African monarch (or queen) butterfly Danaus chrysippus presents an intriguing case study because it is restricted to a single ‘contact zone’ population, involves a putative colour patterning supergene, and co-occurs with infection by the male-killing endosymbiont Spiroplasma. We investigated the origin and evolution of this system using whole genome sequencing. We first identify the ‘BC supergene’, a broad region of suppressed recombination across nearly half a chromosome, which links two colour patterning loci. Association analysis suggests that the genes yellow and arrow in this region control the forewing colour pattern differences between D. chrysippus subspecies. We then show that the same chromosome has recently formed a neo-W that has spread through the contact zone within approximately 2,200 years. We also assembled the genome of the male-killing Spiroplasma, and find that it shows perfect genealogical congruence with the neo-W, suggesting that the neo-W has hitchhiked to high frequency as the male-killer has spread through the population. The complete absence of female crossing-over in the Lepidoptera causes whole-chromosome hitchhiking of a single neo-W haplotype, carrying a single allele of the BC supergene and dragging multiple non-synonymous mutations to high frequency. This has created a population of infected females that all carry the same recessive colour patterning allele, making the phenotypes of each successive generation highly dependent on uninfected male immigrants. Our findings show how hitchhiking can occur between the physically unlinked genomes of host and endosymbiont, with dramatic consequences.",True,PLoS biology,False
5,10.1371/journal.pbio.3000639,https://www.semanticscholar.org/paper/19721b84c246a46f40270dd3c131712c37bc1d6c,Organization of primate amygdalar–thalamic pathways for emotions,"Studies on the thalamus have mostly focused on sensory relay nuclei, but the organization of pathways associated with emotions is not well understood. We addressed this issue by testing the hypothesis that the primate amygdala acts, in part, like a sensory structure for the affective import of stimuli and conveys this information to the mediodorsal thalamic nucleus, magnocellular part (MDmc). We found that primate sensory cortices innervate amygdalar sites that project to the MDmc, which projects to the orbitofrontal cortex. As in sensory thalamic systems, large amygdalar terminals innervated excitatory relay and inhibitory neurons in the MDmc that facilitate faithful transmission to the cortex. The amygdala, however, uniquely innervated a few MDmc neurons by surrounding and isolating large segments of their proximal dendrites, as revealed by three-dimensional high-resolution reconstruction. Physiologic studies have shown that large axon terminals are found in pathways issued from motor systems that innervate other brain centers to help distinguish self-initiated from other movements. By analogy, the amygdalar pathway to the MDmc may convey signals forwarded to the orbitofrontal cortex to monitor and update the status of the environment in processes deranged in schizophrenia, resulting in attribution of thoughts and actions to external sources.",True,PLoS biology,False
6,10.1371/journal.pbio.3000629,https://www.semanticscholar.org/paper/c02dbb4b9ff4058107a7cc3cc6e9bd8b8f384cd2,The unidentified hormonal defense against weight gain,"Human biology has evolved to keep body fat within a range that supports survival. During the last 25 years, obesity biologists have uncovered key aspects of physiology that prevent fat mass from becoming too low. In contrast, the mechanisms that counteract excessive adipose expansion are largely unknown. Evidence dating back to the 1950s suggests the existence of a blood-borne molecule that defends against weight gain. In this article, we discuss the research supporting an “unidentified factor of overfeeding” and models that explain its role in body weight control. If it exists, revealing the identity of this factor could end a long-lasting enigma of energy balance regulation and facilitate a much-needed breakthrough in the pharmacological treatment of obesity.",True,PLoS biology,False
7,10.1371/journal.pbio.3000609,https://www.semanticscholar.org/paper/d1982ff7b46fa151829fa3a942075ad5b1b21d71,Snail synchronizes endocycling in a TOR-dependent manner to coordinate entry and escape from endoreplication pausing during the Drosophila critical weight checkpoint,"The final body size of any given individual underlies both genetic and environmental constraints. Both mammals and insects use target of rapamycin (TOR) and insulin signaling pathways to coordinate growth with nutrition. In holometabolous insects, the growth period is terminated through a cascade of peptide and steroid hormones that end larval feeding behavior and trigger metamorphosis, a nonfeeding stage during which the larval body plan is remodeled to produce an adult. This irreversible decision, termed the critical weight (CW) checkpoint, ensures that larvae have acquired sufficient nutrients to complete and survive development to adulthood. How insects assess body size via the CW checkpoint is still poorly understood on the molecular level. We show here that the Drosophila transcription factor Snail plays a key role in this process. Before and during the CW checkpoint, snail is highly expressed in the larval prothoracic gland (PG), an endocrine tissue undergoing endoreplication and primarily dedicated to the production of the steroid hormone ecdysone. We observed two Snail peaks in the PG, one before and one after the molt from the second to the third instar. Remarkably, these Snail peaks coincide with two peaks of PG cells entering S phase and a slowing of DNA synthesis between the peaks. Interestingly, the second Snail peak occurs at the exit of the CW checkpoint. Snail levels then decline continuously, and endoreplication becomes nonsynchronized in the PG after the CW checkpoint. This suggests that the synchronization of PG cells into S phase via Snail represents the mechanistic link used to terminate the CW checkpoint. Indeed, PG-specific loss of snail function prior to the CW checkpoint causes larval arrest due to a cessation of endoreplication in PG cells, whereas impairing snail after the CW checkpoint no longer affected endoreplication and further development. During the CW window, starvation or loss of TOR signaling disrupted the formation of Snail peaks and endocycle synchronization, whereas later starvation had no effect on snail expression. Taken together, our data demonstrate that insects use the TOR pathway to assess nutrient status during larval development to regulate Snail in ecdysone-producing cells as an effector protein to coordinate endoreplication and CW attainment.",True,PLoS biology,False
8,10.1371/journal.pbio.3000603,https://www.semanticscholar.org/paper/0c038ee97fd75937ca0a8d0a353bd4f8877d28f1,Pancreatic β cell microRNA-26a alleviates type 2 diabetes by improving peripheral insulin sensitivity and preserving β cell function,"Type 2 diabetes (T2D) is characterized by insulin resistance along with pancreatic β cell failure. β cell factors are traditionally thought to control glucose homeostasis by modulating insulin levels, not insulin sensitivity. Exosomes are emerging as new regulators of intercellular communication. However, the role of β-cell–derived exosomes in metabolic homeostasis is poorly understood. Here, we report that microRNA-26a (miR-26a) in β cells not only modulates insulin secretion and β cell replication in an autocrine manner but also regulates peripheral insulin sensitivity in a paracrine manner through circulating exosomes. MiR-26a is reduced in serum exosomes of overweight humans and is inversely correlated with clinical features of T2D. Moreover, miR-26a is down-regulated in serum exosomes and islets of obese mice. Using miR-26a knockin and knockout mouse models, we showed that miR-26a in β cells alleviates obesity-induced insulin resistance and hyperinsulinemia. Mechanistically, miR-26a in β cells enhances peripheral insulin sensitivity via exosomes. Meanwhile, miR-26a prevents hyperinsulinemia through targeting several critical regulators of insulin secretion and β cell proliferation. These findings provide a new paradigm for the far-reaching systemic functions of β cells and offer opportunities for the treatment of T2D.",True,PLoS biology,False
9,10.1371/journal.pbio.3000507,https://www.semanticscholar.org/paper/21da008ba076d392eb719ba6ca969653420ef010,Functional interactions between posttranslationally modified amino acids of methyl-coenzyme M reductase in Methanosarcina acetivorans,"The enzyme methyl-coenzyme M reductase (MCR) plays an important role in mediating global levels of methane by catalyzing a reversible reaction that leads to the production or consumption of this potent greenhouse gas in methanogenic and methanotrophic archaea. In methanogenic archaea, the alpha subunit of MCR (McrA) typically contains four to six posttranslationally modified amino acids near the active site. Recent studies have identified enzymes performing two of these modifications (thioglycine and 5-[S]-methylarginine), yet little is known about the formation and function of the remaining posttranslationally modified residues. Here, we provide in vivo evidence that a dedicated S-adenosylmethionine-dependent methyltransferase encoded by a gene we designated methylcysteine modification (mcmA) is responsible for formation of S-methylcysteine in Methanosarcina acetivorans McrA. Phenotypic analysis of mutants incapable of cysteine methylation suggests that the S-methylcysteine residue might play a role in adaption to mesophilic conditions. To examine the interactions between the S-methylcysteine residue and the previously characterized thioglycine, 5-(S)-methylarginine modifications, we generated M. acetivorans mutants lacking the three known modification genes in all possible combinations. Phenotypic analyses revealed complex, physiologically relevant interactions between the modified residues, which alter the thermal stability of MCR in a combinatorial fashion that is not readily predictable from the phenotypes of single mutants. High-resolution crystal structures of inactive MCR lacking the modified amino acids were indistinguishable from the fully modified enzyme, suggesting that interactions between the posttranslationally modified residues do not exert a major influence on the static structure of the enzyme but rather serve to fine-tune the activity and efficiency of MCR.",True,PLoS biology,False
