,doi,url,title,abstract,is_biomimicry,petal_id
0,10.1371/journal.pbio.3000740,https://www.semanticscholar.org/paper/e11461a23007cc6295a4e90861da8e02a2802357,A single touch can provide sufficient mechanical stimulation to trigger Venus flytrap closure,"The carnivorous Venus flytrap catches prey by an ingenious snapping mechanism. Based on work over nearly 200 years, it has become generally accepted that two touches of the trap’s sensory hairs within 30 s, each one generating an action potential, are required to trigger closure of the trap. We developed an electromechanical model, which, however, suggests that under certain circumstances one touch is sufficient to generate two action potentials. Using a force-sensing microrobotic system, we precisely quantified the sensory-hair deflection parameters necessary to trigger trap closure and correlated them with the elicited action potentials in vivo. Our results confirm the model’s predictions, suggesting that the Venus flytrap may be adapted to a wider range of prey movements than previously assumed.",True,
1,10.1016/j.cub.2016.09.033,https://www.semanticscholar.org/paper/70198e1665b79eac27ce0455f965e34ef85f5cc3,Nanostructures and Monolayers of Spheres Reduce Surface Reflections in Hyperiid Amphipods,"Transparent zooplankton and nekton are often nearly invisible when viewed under ambient light in the pelagic zone [1-3]. However, in this environment, where the light field is directional (and thus likely to cause reflections), and under the bioluminescent searchlights of potential predators, animals may be revealed by reflections from their body surface [4-7]. We investigated the cuticle surfaces of seven species of hyperiids (Crustacea; Amphipoda) using scanning electron microscopy and found two undocumented features that may reduce reflectance. We found that the legs of Cystisoma spp. (n = 5) are covered with an ordered array of nanoprotuberances 200 ± 20 nm SD in height that function optically as a gradient refractive index material [6, 8, 9]. Additionally, we observed that Cystisoma and six other species of hyperiids are covered with a monolayer of homogenous spheres (diameters ranging from 52 ± 7 nm SD on Cystisoma spp. to 320 ± 15 nm SD on Phronima spp.). Optical modeling using effective medium theory and transfer matrix methods demonstrated that both the nanoprotuberances and the monolayers reduce reflectance by as much as 100-fold, depending on the wavelength and angle of the incident light and the thickness of the gradient layer. Even though we only consider surface reflectance and not internal light scattering, our study demonstrates that these nanoprotuberances and spheres can improve crypsis in a featureless habitat where the smallest reflection can render an animal vulnerable to visual predation.",True,
2,10.3390/md18060311,https://www.semanticscholar.org/paper/cfa7d8f7d6d3bf566a5c280417b6184bfd754aeb,Bioactive Molecular Networking for Mapping the Antimicrobial Constituents of the Baltic Brown Alga Fucus vesiculosus,"The brown alga Fucus vesiculosus is common to the intertidal zones of the Baltic Sea, where it is exposed to high fouling pressures by microorganisms. Our previous studies showed, repeatedly, the consistent antimicrobial activity of F. vesiculosus crude extracts against human pathogens, while untargeted metabolomics analyses have revealed a variety of metabolites. In this study, we applied the UPLC-QToF-MS/MS-based “bioactive molecular networking” (BMN) concept on the most bioactive n-hexane and n-butanol subextracts of Baltic F. vesiculosus coupled with in silico dereplication tools to identify the compounds responsible for antimicrobial activity. The first antimicrobial cluster identified by BMN was galactolipids. Our targeted isolation efforts for this class led to the isolation of six monogalactosyldiacylglycerol (MGDG) derivatives (1–6) and one digalactosyldiacylglycerol (DGDG, 7). The MGDGs 5 and 6 and the DGDG 7 exhibited activity against Staphylococcus aureus. The second compound class with high bioactivity was phlorotannins. In particular, phlorethol-type phlorotannins showed high correlations with antimicrobial activity based on the BMN approach, and two phlorotannins (8–9) were isolated. This study shows that antimicrobial components of F. vesiculosus reside in the algal cell walls and membranes and that BMN provides a complementary tool for the targeted isolation of bioactive metabolites.",True,
3,10.1016/j.actbio.2017.07.034,https://www.semanticscholar.org/paper/8149e52a8c549aa9e1f4a93fe315263849bc92c1,Dragonfly wing nodus: A one-way hinge contributing to the asymmetric wing deformation.,"Dragonfly wings are highly specialized locomotor systems, which are formed by a combination of several structural components. The wing components, also known as structural elements, are responsible for the various aspects of the wing functionality. Considering the complex interactions between the wing components, modelling of the wings as a whole is only possible with inevitable huge oversimplifications. In order to overcome this difficulty, we have recently proposed a new approach to model individual components of complex wings comparatively. Here, we use this approach to study nodus, a structural element of dragonfly wings which has been less studied to date. Using a combination of several imaging techniques including scanning electron microscopy (SEM), wide-field fluorescence microscopy (WFM), confocal laser scanning microscopy (CLSM) and micro-computed tomography (micro-CT) scanning, we aim to characterize the spatial morphology and material composition of fore- and hindwing nodi of the dragonfly Brachythemis contaminata. The microscopy results show the presence of resilin in the nodi, which is expected to help the deformability of the wings. The computational results based on three-dimensional (3D) structural data suggest that the specific geometry of the nodus restrains its displacements when subjected to pressure on the ventral side. This effect, resulting from an interlocking mechanism, is expected to contribute to the dorso-ventral asymmetry of wing deformation and to provide a higher resistance to aerodynamic forces during the downstroke. Our results provide an important step towards better understanding of the structure-property-function relationship in dragonfly wings.",True,
4,10.1098/rsos.191989,https://www.semanticscholar.org/paper/76fde92049ac872bf28c28fbe0eac6feea4f4fd2,"Metabolic rate in common shrews is unaffected by temperature, leading to lower energetic costs through seasonal size reduction","Small endothermic mammals have high metabolisms, particularly at cold temperatures. In the light of this, some species have evolved a seemingly illogical strategy: they reduce the size of the brain and several organs to become even smaller in winter. To test how this morphological strategy affects energy consumption across seasonally shifting ambient temperatures, we measured oxygen consumption and behaviour in the three seasonal phenotypes of the common shrew (Sorex araneus), which differ in size by about 20%. Body mass was the main driver of oxygen consumption, not the reduction of metabolically expensive brain mass. Against our expectations, we found no change in relative oxygen consumption with low ambient temperature. Thus, smaller body size in winter resulted in significant absolute energy savings. This finding could only partly be explained by an increase of lower cost behaviours in the activity budgets. Our findings highlight that these shrews manage to avoid one of the most fundamental and intuitive rules of ecology, allowing them to subsist with lower resource availability and successfully survive the harsh conditions of winter.",True,
5,10.3897/zookeys.915.38348,https://www.semanticscholar.org/paper/a8514a778383f06203c34cf9e5614418f771076c,"The jumping mechanism of flea beetles (Coleoptera, Chrysomelidae, Alticini), its application to bionics and preliminary design for a robotic jumping leg.","Flea beetles (Coleoptera, Chrysomelidae, Galerucinae, Alticini) are a hyperdiverse group of organisms with approximately 9900 species worldwide. In addition to walking as most insects do, nearly all the species of flea beetles have an ability to jump and this ability is commonly understood as one of the key adaptations responsible for its diversity. Our investigation of flea beetle jumping is based on high-speed filming, micro-CT scans and 3D reconstructions, and provides a mechanical description of the jump. We reveal that the flea beetle jumping mechanism is a catapult in nature and is enabled by a small structure in the hind femur called an 'elastic plate' which powers the explosive jump and protects other structures from potential injury. The explosive catapult jump of flea beetles involves a unique 'high-efficiency mechanism' and 'positive feedback mechanism'. As this catapult mechanism could inspire the design of bionic jumping limbs, we provide a preliminary design for a robotic jumping leg, which could be a resource for the bionics industry.",True,
6,10.1111/ele.13506,https://www.semanticscholar.org/paper/3c504a2958e92671e6db8ccf7b9b4f4272fce700,Herbivory meets fungivory: insect herbivores feed on plant pathogenic fungi for their own benefit.,"Plants are regularly colonised by fungi and bacteria, but plant-inhabiting microbes are rarely considered in studies on plant-herbivore interactions. Here we show that young gypsy moth (Lymantria dispar) caterpillars prefer to feed on black poplar (Populus nigra) foliage infected by the rust fungus Melampsora larici-populina instead of uninfected control foliage, and selectively consume fungal spores. This consumption, also observed in a related lepidopteran species, is stimulated by the sugar alcohol mannitol, found in much higher concentration in fungal tissue and infected leaves than uninfected plant foliage. Gypsy moth larvae developed more rapidly on rust-infected leaves, which cannot be attributed to mannitol but rather to greater levels of total nitrogen, essential amino acids and B vitamins in fungal tissue and fungus-infected leaves. Herbivore consumption of fungi and other microbes may be much more widespread than commonly believed with important consequences for the ecology and evolution of plant-herbivore interactions.",True,
7,10.1098/rsif.2018.0246,https://www.semanticscholar.org/paper/50a760a489a1d5f8406f125a3cc410b65262dd90,Both stiff and compliant: morphological and biomechanical adaptations of stick insect antennae for tactile exploration,"Active tactile exploration behaviour is constrained to a large extent by the morphological and biomechanical properties of the animal's somatosensory system. In the model organism Carausius morosus, the main tactile sensory organs are long, thin, seemingly delicate, but very robust antennae. Previous studies have shown that these antennae are compliant under contact, yet stiff enough to maintain a straight shape during active exploration. Overcritical damping of the flagellum, on the other hand, allows for a rapid return to the straight shape after release of contact. Which roles do the morphological and biomechanical adaptations of the flagellum play in determining these special mechanical properties? To investigate this question, we used a combination of biomechanical experiments and numerical modelling. A set of four finite-element (FE) model variants was derived to investigate the effect of the distinct geometrical and material properties of the flagellum on its static (bending) and dynamic (damping) characteristics. The results of our numerical simulations show that the tapered shape of the flagellum had the strongest influence on its static biomechanical behaviour. The annulated structure and thickness gradient affected the deformability of the flagellum to a lesser degree. The inner endocuticle layer of the flagellum was confirmed to be essential for explaining the strongly damped return behaviour of the antenna. By highlighting the significance of two out of the four main structural features of the insect flagellum, our study provides a basis for mechanical design of biomimetic touch sensors tuned to become maximally flexible while quickly resuming a straight shape after contact.",True,
8,10.1093/aob/mcq238,https://www.semanticscholar.org/paper/db0ba0e5f5aef71d465985712034c873b17d861b,"Traps of carnivorous pitcher plants as a habitat: composition of the fluid, biodiversity and mutualistic activities.","Carnivorous pitcher plants (CPPs) use cone-shaped leaves to trap animals for nutrient supply but are not able to kill all intruders of their traps. Numerous species, ranging from bacteria to vertrebrates, survive and propagate in the otherwise deadly traps. This paper reviews the literature on phytotelmata of CPPs.


PITCHER
Fluid as a Habitat The volumes of pitchers range from 0·2 mL to 1·5 L. In Nepenthes and Cephalotus, the fluid is secreted by the trap; the other genera collect rain water. The fluid is usually acidic, rich in O(2) and contains digestive enzymes. In some taxa, toxins or detergents are found, or the fluid is extremely viscous. In Heliamphora or Sarracenia, the fluid differs little from pure water.


INQUILINE
Diversity Pitcher inquilines comprise bacteria, protozoa, algae, fungi, rotifers, crustaceans, arachnids, insects and amphibia. The dominant groups are protists and Dipteran larvae. The various species of CPPs host different sets of inquilines. Sarracenia purpurea hosts up to 165 species of inquilines, followed by Nepenthes ampullaria with 59 species, compared with only three species from Brocchinia reducta. Reasons for these differences include size, the life span of the pitcher as well as its fluid. MUTUALISTIC: Activities Inquilines closely interact with their host. Some live as parasites, but the vast majority are mutualists. Beneficial activities include secretion of enzymes, feeding on the plant's prey and successive excretion of inorganic nutrients, mechanical break up of the prey, removal of excessive prey and assimilation of atmospheric N(2).


CONCLUSIONS
There is strong evidence that CPPs influence their phytotelm. Two strategies can be distinguished: (1) Nepenthes and Cephalotus produce acidic, toxic or digestive fluids and host a limited diversity of inquilines. (2) Genera without efficient enzymes such as Sarracenia or Heliamphora host diverse organisms and depend to a large extent on their symbionts for prey utilization.",True,
9,10.1021/acsami.7b07060,https://www.semanticscholar.org/paper/ede0aea4821876e66ce4594cf3b2bba58612c555,Exploring the Role of Habitat on the Wettability of Cicada Wings.,"Evolutionary pressure has pushed many extant species to develop micro/nanostructures that can significantly affect wettability and enable functionalities such as droplet jumping, self-cleaning, antifogging, antimicrobial, and antireflectivity. In particular, significant effort is underway to understand the insect wing surface structure to establish rational design tools for the development of novel engineered materials. Most studies, however, have focused on superhydrophobic wings obtained from a single insect species, in particular, the Psaltoda claripennis cicada. Here, we investigate the relationship between the spatially dependent wing wettability, topology, and droplet jumping behavior of multiple cicada species and their habitat, lifecycle, and interspecies relatedness. We focus on cicada wings of four different species: Neotibicen pruinosus, N. tibicen, Megatibicen dorsatus, and Magicicada septendecim and take a comparative approach. Using spatially resolved microgoniometry, scanning electron microscopy, atomic force microscopy, and high speed optical microscopy, we show that within cicada species, the wettability of wings is spatially homogeneous across wing cells. All four species were shown to have truncated conical pillars with widely varying length scales ranging from 50 to 400 nm in height. Comparison of the wettability revealed three cicada species with wings that are superhydrophobic (>150°) with low contact angle hysteresis (<5°), resulting in stable droplet jumping behavior. The fourth, more distantly related species (Ma. septendecim) showed only moderate hydrophobic behavior, eliminating some of the beneficial surface functional aspects for this cicada. Correlation between cicada habitat and wing wettability yielded little connection as wetter, swampy environments do not necessarily equate to higher measured wing hydrophobicity. The results, however, do point to species relatedness and reproductive strategy as a closer proxy for predicting wettability and surface structure and resultant enhanced wing surface functionality. This work not only elucidates the differences between inter- and intraspecies cicada wing topology, wettability, and water shedding behavior but also enables the development of rational design tools for the manufacture of artificial surfaces for energy and water applications.",True,
10,10.1039/D0SC01935F,https://www.semanticscholar.org/paper/73b9c1899259bb5a7f24b6751b2661d8946713be,Enhancing a de novo enzyme activity by computationally-focused ultra-low-throughput screening† †Electronic supplementary information (ESI) available: Additional simulation details and table of the full list of variants predicted by FuncLib. See DOI: 10.1039/d0sc01935f,De novo enzymes capable of efficiently catalysis of a non-natural reaction are obtained through minimalist design plus computationally-focused variant library screening.,True,
11,10.7554/eLife.52187,https://www.semanticscholar.org/paper/ab39c8eb8faa483afac3907f45e11b2bb4399e1f,Structural color in Junonia butterflies evolves by tuning scale lamina thickness,"In diverse organisms, nanostructures that coherently scatter light create structural color, but how such structures are built remains mysterious. We investigate the evolution and genetic regulation of butterfly scale laminae, which are simple photonic nanostructures. In a lineage of buckeye butterflies artificially selected for blue wing color, we found that thickened laminae caused a color shift from brown to blue. Deletion of the optix patterning gene also altered color via lamina thickening, revealing shared regulation of pigments and lamina thickness. Finally, we show how lamina thickness variation contributes to the color diversity that distinguishes sexes and species throughout the genus Junonia. Thus, quantitatively tuning one dimension of scale architecture facilitates both the microevolution and macroevolution of a broad spectrum of hues. Because the lamina is an intrinsic component of typical butterfly scales, our findings suggest that tuning lamina thickness is an available mechanism to create structural color across the Lepidoptera.",True,
