,doi,url,title,abstract,is_open_access,journal_name,is_biomimicry
0,10.1002/esp.4933,https://www.semanticscholar.org/paper/19cc98f07c245160759d3985b27e3f2cc5bf2127,A seismic monitoring approach to detect and quantify river sediment mobilization by steelhead redd‐building activity,"The role of spawning salmonids in altering river bed morphology and sediment transport is significant, yet poorly understood. This is due, in large part, to limitations in monitoring the redd‐build ...",True,,True
1,10.1038/s41567-020-0935-4,https://www.semanticscholar.org/paper/3a067a4392be4447af2e3c1ec53a7dba45e1c51b,Undulation enables gliding in flying snakes,"When flying snakes glide, they use aerial undulation. To determine if aerial undulation is a flight control strategy or a non-functional behavioural vestige of lateral undulation, we measured snake glides using high-speed motion capture and developed a new dynamical model of gliding. Reconstructions of the snake’s wing-body reveal that aerial undulation is composed of horizontal and vertical waves, whose phases differ by 90° and whose frequencies differ by a factor of two. Using these results, we developed a three-dimensional mathematical model of snake flight that incorporates aerodynamic and inertial effects. Although simulated glides without undulation attained some horizontal distance, they are biologically unrealistic because they failed due to roll and pitch instabilities. In contrast, the inclusion of undulation stabilized the rotational motion and markedly increased glide performance. This work demonstrates that aerial undulation in snakes serves a different function than known uses of undulation in other animals, and suggests a new template of control for dynamic flying robots. Observations of flying snakes inform the development of a dynamical model of gliding taking undulation into account. This work suggests that aerial undulation has a different function in snakes than in other animals.",False,,True
2,10.1016/j.cub.2019.03.035,https://www.semanticscholar.org/paper/93c7ecf6c4514593d22e69a2638760b7e2e79ebb,Social immunity in insects,"When animals become sick, infected cells and an armada of activated immune cells attempt to eliminate the pathogen from the body. Once infectious particles have breached the body's physical barriers of the skin or gut lining, an initially local response quickly escalates into a systemic response, attracting mobile immune cells to the site of infection. These cells complement the initial, unspecific defense with a more specialized, targeted response. This can also provide long-term immune memory and protection against future infection. The cell-autonomous defenses of the infected cells are thus aided by the actions of recruited immune cells. These specialized cells are the most mobile cells in the body, constantly patrolling through the otherwise static tissue to detect incoming pathogens. Such constant immune surveillance means infections are noticed immediately and can be rapidly cleared from the body. Some immune cells also remove infected cells that have succumbed to infection. All this prevents pathogen replication and spread to healthy tissues. Although this may involve the sacrifice of some somatic tissue, this is typically replaced quickly. Particular care is, however, given to the reproductive organs, which should always remain disease free (immune privilege).",True,Current Biology,True
3,10.1073/pnas.1620612114,https://www.semanticscholar.org/paper/83076c6a39ea48486f5a9fa78b9a0065da77f1d4,Investigation of hindwing folding in ladybird beetles by artificial elytron transplantation and microcomputed tomography,"Significance Hindwings in ladybird beetles successfully achieve compatibility between the deformability (instability) required for wing folding and strength property (stability) required for flying. This study demonstrates how ladybird beetles address these two conflicting requirements by an unprecedented technique using artificial wings. Our results, which clarify the detailed wing-folding process and reveal the supporting structures, provide indispensable initial knowledge for revealing this naturally evolved optimization system. Investigating the characteristics in the venations and crease patterns revealed in this study could provide an innovative designing method, enabling the integration of structural stability and deformability, and thus could have a considerable impact on engineering science. Ladybird beetles are high-mobility insects and explore broad areas by switching between walking and flying. Their excellent wing transformation systems enabling this lifestyle are expected to provide large potential for engineering applications. However, the mechanism behind the folding of their hindwings remains unclear. The reason is that ladybird beetles close the elytra ahead of wing folding, preventing the observation of detailed processes occurring under the elytra. In the present study, artificial transparent elytra were transplanted on living ladybird beetles, thereby enabling us to observe the detailed wing-folding processes. The result revealed that in addition to the abdominal movements mentioned in previous studies, the edge and ventral surface of the elytra, as well as characteristic shaped veins, play important roles in wing folding. The structures of the wing frames enabling this folding process and detailed 3D shape of the hindwing were investigated using microcomputed tomography. The results showed that the tape spring-like elastic frame plays an important role in the wing transformation mechanism. Compared with other beetles, hindwings in ladybird beetles are characterized by two seemingly incompatible properties: (i) the wing rigidity with relatively thick veins and (ii) the compactness in stored shapes with complex crease patterns. The detailed wing-folding process revealed in this study is expected to facilitate understanding of the naturally optimized system in this excellent deployable structure.",True,Proceedings of the National Academy of Sciences,True
4,10.1093/aob/mcaa058,https://www.semanticscholar.org/paper/ffe65f1cf0a1bfec30ba7727ed4b2348ad0af5aa,Pollen adaptation to ant pollination: a case study from the Proteaceae,"Abstract Background and Aims Ant–plant associations are widely diverse and distributed throughout the world, leading to antagonistic and/or mutualistic interactions. Ant pollination is a rare mutualistic association and reports of ants as effective pollinators are limited to a few studies. Conospermum (Proteaceae) is an insect-pollinated genus well represented in the south-western Australia biodiversity hotspot, and here we aimed to evaluate the role of ants as pollinators of C. undulatum. Methods Pollen germination after contact with several species of ants and bees was tested for C. undulatum and five co-flowering species for comparison. We then sampled the pollen load of floral visitors of C. undulatum to assess whether ants carried a pollen load sufficient to enable pollination. Lastly, we performed exclusion treatments to assess the relative effect of flying- and non-flying-invertebrate floral visitors on the reproduction of C. undulatum. For this, we measured the seed set under different conditions: ants exclusion, flying-insects exclusion and control. Key Results Pollen of C. undulatum, along with the other Conospermum species, had a germination rate after contact with ants of ~80 % which did not differ from the effect of bees; in contrast, the other plant species tested showed a drop in the germination rate to ~10 % following ant treatments. Although ants were generalist visitors, they carried a pollen load with 68–86 % of suitable grains. Moreover, ants significantly contributed to the seed set of C. undulatum. Conclusions Our study highlights the complexity of ant–flower interactions and suggests that generalizations neglecting the importance of ants as pollinators cannot be made. Conospermum undulatum has evolved pollen with resistance to the negative effect of ant secretions on pollen grains, with ants providing effective pollination services to this threatened species.",True,Annals of botany,True
5,10.1126/science.abb0064,https://www.semanticscholar.org/paper/73fe4831eacf867b64ca06e46131803837b5ff98,Drones become even more insect-like,"Mosquitoes' exceptional sensitivity to sound and airflow inspires new collision avoidance technology Evolutionary pressures in the animal kingdom have, over the course of several hundred million years, produced a diverse array of creatures highly adapted to survival within their own niche environments. Such adaptations coincide with optimized and efficient materials, body structure, and behavior. Humans have long drawn inspiration from nature in the creation of new technologies—for example, the earliest attempts at flight based on emulation of birds—and many benefits stem from the study of processes, materials, methods, and organizational structures of living organisms. On page 634 of this issue, Nakata et al. (1) exemplify the bioinspired design methodology through their investigation of the sound- and airflow-sensing capabilities of the southern house mosquito Culex quinquefasciatus and subsequent creation of a small quad-copter drone with an autonomous collision avoidance system based on the same sensing principles. The sensor displays compelling advantages in weight, power, and deployability over existing technology.",False,Science,True
6,10.1098/rspb.2020.0457,https://www.semanticscholar.org/paper/e4f75c6562ec3c60efe38478ca256b2f24bafec3,Deciphering an extreme morphology: bone microarchitecture of the hero shrew backbone (Soricidae: Scutisorex),"Biological structures with extreme morphologies are puzzling because they often lack obvious functions and stymie comparisons to homologous or analogous features with more typical shapes. An example of such an extreme morphotype is the uniquely modified vertebral column of the hero shrew Scutisorex, which features numerous accessory intervertebral articulations and massively expanded transverse processes. The function of these vertebral structures is unknown, and it is difficult to meaningfully compare them to vertebrae from animals with known behavioural patterns and spinal adaptations. Here, we use trabecular bone architecture of vertebral centra and quantitative external vertebral morphology to elucidate the forces that may act on the spine of Scutisorex and that of another large shrew with unmodified vertebrae (Crocidura goliath). X-ray micro-computed tomography (µCT) scans of thoracolumbar columns show that Scutisorex thori is structurally intermediate between C. goliath and S. somereni internally and externally, and both Scutisorex species exhibit trabecular bone characteristics indicative of higher in vivo axial compressive loads than C. goliath. Under compressive load, Scutisorex vertebral morphology is adapted to largely restrict bending to the sagittal plane (flexion). Although these findings do not solve the mystery of how Scutisorex uses its byzantine spine in vivo, our work suggests potentially fruitful new avenues of investigation for learning more about the function of this perplexing structure.",False,Proceedings of the Royal Society B,True
7,10.1017/S0368393100109915,https://www.semanticscholar.org/paper/dae7ab35a62d69ec88b586123fe171dda8276dc7,The Silent Flight of Owls,"It is possible to trace, in the flying equipment of birds, feathered versions of many of the refinements that render the modern aeroplane more efficient than its predecessors. It would, therefore, be a mistake to ignore birds as a guide to possible future developments. One of the most interesting groups of birds is that which includes all the owls, for there is a possible connection between the manner in which their strikingly silent flight is achieved and the increasingly pressing problem of silencing airscrews.",False,,True
8,10.1126/science.aal0584,https://www.semanticscholar.org/paper/f70fb74c76ebc2e3efed172334b655a507a750dd,How the slimy hagfish ties itself up in knots—and survives shark attacks,,False,,True
9,10.1016/j.asd.2018.12.004,https://www.semanticscholar.org/paper/c86ba572887cd8d24604a53619a5ad548c5112ef,Pygidial glands of Harpalus pensylvanicus (Coleoptera: Carabidae) contain resilin-rich structures.,"The pygidial gland system is a key innovation in adephagan beetles, producing, storing, and spraying defensive chemical compounds. As the source of defensive chemical production and storage, the pygidial gland system experiences severe chemical stress which challenges the integrity of the entire gland system. Here, we utilize autofluorescence-based confocal laser scanning microscopy to examine the morphology of pygidial gland secretory lobes and collecting ductules in a common Pennsylvanian harpaline species, Harpalus pensylvanicus. The glandular units are composed of type-III exocrine cells which empty into resilin-rich ductules, which themselves lead into a larger resilin-rich collecting duct, and ultimately the pygidial reservoir pump. We also utilize histological staining with toluidine blue and brightfield imaging to provide additional support for the presence of resilin in the collecting duct, as toluidine blue has been shown to stain resilin without metachromasia. We hypothesize that the high resilin content of the collecting ducts might be a widespread key evolutionary adaptation to prevent damage caused by physical and chemical stress generated in pump-containing insect exocrine gland systems.",False,Arthropod structure & development,True
